Name,Class,SpType,Vbroad,Teff,B-V,VMag,logL
HD106116,dwarf,G4V,0,5620,0.701,4.79,0.025
HD106516,dwarf,F9VF,7.26,6401,0.47,4.36,0.15
HD114762,dwarf,F8V,3.29,6104,0.525,4.26,0.204
HD132406,dwarf,G0,0.33,5857,0.65,4.19,0.244
HD135204,dwarf,K0V,0.5,5373,0.763,5.36,-0.181
HD142373,dwarf,F8Ve,2.25,5859,0.563,3.61,0.476
HD157089,dwarf,F9V,1.85,5931,0.571,4.15,0.258
HD16397,dwarf,G0V,0.57,5828,0.583,4.66,0.058
HD132142,dwarf,K1V,0,5091,0.785,5.89,-0.35
HD184499,dwarf,G0V,3.02,5811,0.595,4.1,0.285
HD18757,dwarf,G4V,0,5654,0.634,4.75,0.038
HD189558,dwarf,G0/G1V,0.9,6109,0.571,3.66,0.445
HD190404,dwarf,K1V,0,5145,0.815,6.28,-0.517
HD191785,dwarf,K1V,0.75,5105,0.83,5.78,-0.312
HD22879,dwarf,F9V,0,5913,0.554,4.7,0.038
HD245,dwarf,G2V,1.03,5760,0.588,4.59,0.094
HD29587,dwarf,G2V,0,5709,0.633,5.08,-0.098
HD3628,dwarf,G2V,1.03,5777,0.633,3.83,0.395
HD6582,dwarf,G5Vb,0,5382,0.704,5.73,-0.328
HD74011,dwarf,F8,0.79,5855,0.583,4.07,0.294
HD1835,dwarf,G3V,6.34,5774,0.659,4.78,0.014
BD+290503,dwarf,G5,3.58,5180,0.855,5.94,-0.384
HD10145,dwarf,G5V,0,5593,0.691,4.84,0.005
HD10307,dwarf,G1.5V,2.72,5913,0.618,4.37,0.169
HD10476,dwarf,K1V,0,5141,0.836,5.82,-0.331
HD10780,dwarf,K0V,0.5,5339,0.804,5.62,-0.277
HD108954,dwarf,F9V,3.43,6194,0.568,4.53,0.092
HD109358,dwarf,G0V,2.77,5875,0.588,4.63,0.069
HD11007,dwarf,F8V,3.4,6032,0.572,3.57,0.485
HD110463,dwarf,K3V,1.82,4856,0.955,6.44,-0.528
HD114710,dwarf,G0V,4.7,6078,0.572,4.46,0.126
HD115617,dwarf,G7V,0,5544,0.709,5.08,-0.085
HD12051,dwarf,G5,0,5363,0.773,5.15,-0.095
HD124292,dwarf,G0,0.75,5443,0.733,6.18,-0.516
HD124570,dwarf,F8V,6.43,6160,0.537,2.85,0.766
